index	identifier	file	sum_stat	clip_soft	description	group
147	RPA34_S0	RPA34_S0_coverage.bw	sum	100000	RPA34_S0 Chip-exo, coverage	Other
148	RPA34_S1	RPA34_S1_coverage.bw	sum	100000	RPA34_S1 Chip-exo, coverage	Other
149	RPA43_S0	RPA43_S0_coverage.bw	sum	100000	RPA43_S0 Chip-exo, coverage	Other
150	RPA43_S1	RPA43_S1_coverage.bw	sum	100000	RPA43_S1 Chip-exo, coverage	Other
151	RPA49_S0	RPA49_S0_coverage.bw	sum	100000	RPA49_S0 Chip-exo, coverage	Other
152	RPB11_S0	RPB11_S0_coverage.bw	sum	100000	RPB11_S0 Chip-exo, coverage	Other
153	RPB11_S1	RPB11_S1_coverage.bw	sum	100000	RPB11_S1 Chip-exo, coverage	Other
154	RPB2_S0	RPB2_S0_coverage.bw	sum	100000	RPB2_S0 Chip-exo, coverage	Other
155	RPB2_S1	RPB2_S1_coverage.bw	sum	100000	RPB2_S1 Chip-exo, coverage	Other
156	RPB3_HS3_S0	RPB3_HS3_S0_coverage.bw	sum	100000	RPB3_HS3_S0 Chip-exo, coverage	Other
157	RPB3_S0	RPB3_S0_coverage.bw	sum	100000	RPB3_S0 Chip-exo, coverage	Other
158	RPB3_S1	RPB3_S1_coverage.bw	sum	100000	RPB3_S1 Chip-exo, coverage	Other
159	TAF9_S1	TAF9_S1_coverage.bw	sum	100000	TAF9_S1 Chip-exo, coverage	Other
160	TAP42_S0	TAP42_S0_coverage.bw	sum	100000	TAP42_S0 Chip-exo, coverage	Other
161	TBF1_S0	TBF1_S0_coverage.bw	sum	100000	TBF1_S0 Chip-exo, coverage	Other
162	TBF1_S1	TBF1_S1_coverage.bw	sum	100000	TBF1_S1 Chip-exo, coverage	Other
163	TBS1_S0	TBS1_S0_coverage.bw	sum	100000	TBS1_S0 Chip-exo, coverage	Other
164	TBS1_S1	TBS1_S1_coverage.bw	sum	100000	TBS1_S1 Chip-exo, coverage	Other
165	TDA9_S0	TDA9_S0_coverage.bw	sum	100000	TDA9_S0 Chip-exo, coverage	Other
166	TDA9_S1	TDA9_S1_coverage.bw	sum	100000	TDA9_S1 Chip-exo, coverage	Other
167	TEA1_S0	TEA1_S0_coverage.bw	sum	100000	TEA1_S0 Chip-exo, coverage	Other
168	TEA1_S1	TEA1_S1_coverage.bw	sum	100000	TEA1_S1 Chip-exo, coverage	Other
169	TEC1_S0	TEC1_S0_coverage.bw	sum	100000	TEC1_S0 Chip-exo, coverage	Other
170	TEL2_S0	TEL2_S0_coverage.bw	sum	100000	TEL2_S0 Chip-exo, coverage	Other
171	TFA1_S0	TFA1_S0_coverage.bw	sum	100000	TFA1_S0 Chip-exo, coverage	Other
172	TFA1_S1	TFA1_S1_coverage.bw	sum	100000	TFA1_S1 Chip-exo, coverage	Other
173	TFA1_S2	TFA1_S2_coverage.bw	sum	100000	TFA1_S2 Chip-exo, coverage	Other
174	TFA2_S0	TFA2_S0_coverage.bw	sum	100000	TFA2_S0 Chip-exo, coverage	Other
175	TFA2_S1	TFA2_S1_coverage.bw	sum	100000	TFA2_S1 Chip-exo, coverage	Other
176	TFB1_S0	TFB1_S0_coverage.bw	sum	100000	TFB1_S0 Chip-exo, coverage	Other
177	TFB1_S1	TFB1_S1_coverage.bw	sum	100000	TFB1_S1 Chip-exo, coverage	Other
178	TFB2_S0	TFB2_S0_coverage.bw	sum	100000	TFB2_S0 Chip-exo, coverage	Other
179	TFB2_S1	TFB2_S1_coverage.bw	sum	100000	TFB2_S1 Chip-exo, coverage	Other
180	TFB3_S0	TFB3_S0_coverage.bw	sum	100000	TFB3_S0 Chip-exo, coverage	Other
181	TFB3_S1	TFB3_S1_coverage.bw	sum	100000	TFB3_S1 Chip-exo, coverage	Other
182	TFB4_S0	TFB4_S0_coverage.bw	sum	100000	TFB4_S0 Chip-exo, coverage	Other
183	TFB4_S1	TFB4_S1_coverage.bw	sum	100000	TFB4_S1 Chip-exo, coverage	Other
184	TFB6_S0	TFB6_S0_coverage.bw	sum	100000	TFB6_S0 Chip-exo, coverage	Other
185	TFC1_S0	TFC1_S0_coverage.bw	sum	100000	TFC1_S0 Chip-exo, coverage	Other
186	TFC1_S1	TFC1_S1_coverage.bw	sum	100000	TFC1_S1 Chip-exo, coverage	Other
187	TFC3_S0	TFC3_S0_coverage.bw	sum	100000	TFC3_S0 Chip-exo, coverage	Other
188	TFC3_S1	TFC3_S1_coverage.bw	sum	100000	TFC3_S1 Chip-exo, coverage	Other
189	TFC4_S0	TFC4_S0_coverage.bw	sum	100000	TFC4_S0 Chip-exo, coverage	Other
190	TFC4_S1	TFC4_S1_coverage.bw	sum	100000	TFC4_S1 Chip-exo, coverage	Other
191	TFC6_S1	TFC6_S1_coverage.bw	sum	100000	TFC6_S1 Chip-exo, coverage	Other
192	TFC7_S0	TFC7_S0_coverage.bw	sum	100000	TFC7_S0 Chip-exo, coverage	Other
193	TFC7_S1	TFC7_S1_coverage.bw	sum	100000	TFC7_S1 Chip-exo, coverage	Other
194	TFC8_S0	TFC8_S0_coverage.bw	sum	100000	TFC8_S0 Chip-exo, coverage	Other
195	TFC8_S1	TFC8_S1_coverage.bw	sum	100000	TFC8_S1 Chip-exo, coverage	Other
196	TFG1_S0	TFG1_S0_coverage.bw	sum	100000	TFG1_S0 Chip-exo, coverage	Other
197	TFG1_S1	TFG1_S1_coverage.bw	sum	100000	TFG1_S1 Chip-exo, coverage	Other
198	TFG2_S0	TFG2_S0_coverage.bw	sum	100000	TFG2_S0 Chip-exo, coverage	Other
199	THI3_S0	THI3_S0_coverage.bw	sum	100000	THI3_S0 Chip-exo, coverage	Other
200	THO1_S0	THO1_S0_coverage.bw	sum	100000	THO1_S0 Chip-exo, coverage	Other
201	THO1_S1	THO1_S1_coverage.bw	sum	100000	THO1_S1 Chip-exo, coverage	Other
202	THP2_S0	THP2_S0_coverage.bw	sum	100000	THP2_S0 Chip-exo, coverage	Other
203	THP2_S1	THP2_S1_coverage.bw	sum	100000	THP2_S1 Chip-exo, coverage	Other
204	TIF1_S0	TIF1_S0_coverage.bw	sum	100000	TIF1_S0 Chip-exo, coverage	Other
205	TIP41_S0	TIP41_S0_coverage.bw	sum	100000	TIP41_S0 Chip-exo, coverage	Other
206	TMA46_S0	TMA46_S0_coverage.bw	sum	100000	TMA46_S0 Chip-exo, coverage	Other
207	TOA1_S0	TOA1_S0_coverage.bw	sum	100000	TOA1_S0 Chip-exo, coverage	Other
208	TOA1_S1	TOA1_S1_coverage.bw	sum	100000	TOA1_S1 Chip-exo, coverage	Other
209	TOA1_S2	TOA1_S2_coverage.bw	sum	100000	TOA1_S2 Chip-exo, coverage	Other
210	TOD6_S0	TOD6_S0_coverage.bw	sum	100000	TOD6_S0 Chip-exo, coverage	Other
211	TOM1_S0	TOM1_S0_coverage.bw	sum	100000	TOM1_S0 Chip-exo, coverage	Other
212	TOP1_S0	TOP1_S0_coverage.bw	sum	100000	TOP1_S0 Chip-exo, coverage	Other
213	IKI3_S0	IKI3_S0_coverage.bw	sum	100000	IKI3_S0 Chip-exo, coverage	Other
214	ILV5_S0	ILV5_S0_coverage.bw	sum	100000	ILV5_S0 Chip-exo, coverage	Other
215	IMD2_S0	IMD2_S0_coverage.bw	sum	100000	IMD2_S0 Chip-exo, coverage	Other
216	IML2_S0	IML2_S0_coverage.bw	sum	100000	IML2_S0 Chip-exo, coverage	Other
217	INO2_S1	INO2_S1_coverage.bw	sum	100000	INO2_S1 Chip-exo, coverage	Other
